,Unnamed: 0,Name,Record,Nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,weight number,WeightClass
1075,1075,Louis Gaudinot,NC),Goodnight,"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984",2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1,125,Flyweight
1076,1076,Charlene Gellner,0-4-0,Princess,"5' 2""",125 lbs.,--,,--,2.01,0.42,3.24,0.43,0.0,0.0,0.0,1.7,125,Flyweight
1077,1077,Chad George,16-8-0,Savage,"5' 6""",135 lbs.,"68""",Southpaw,"Apr 30, 1982",1.26,0.5,1.11,0.65,3.08,0.46,0.0,1.3,135,Bantamweight
1078,1078,Paul Georgieff,6-2-0,,"6' 2""",170 lbs.,--,Orthodox,"Sep 22, 1982",2.55,0.4,2.34,0.35,0.0,0.0,0.0,0.0,170,Welterweight
1079,1079,Brian Geraghty,26-18-1,Duke,"5' 7""",155 lbs.,--,Orthodox,"Nov 04, 1980",0.47,0.25,9.77,0.36,0.0,0.0,0.5,0.0,155,Lightweight
1080,1080,Derek Getzel,8-5-0,The Pretzel,"6' 0""",155 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1081,1081,Karine Gevorgyan,3-3-0,The Princess,"5' 4""",125 lbs.,"63""",,"Mar 09, 1989",1.2,0.2,1.8,0.76,0.0,0.0,0.0,0.0,125,Flyweight
1082,1082,Darrel Gholar,5-6-0,,"5' 8""",194 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194,Lightheavyweight
1083,1083,Tiki Ghosn,10-7-1,,"5' 10""",170 lbs.,--,Orthodox,"Feb 09, 1977",2.78,0.46,2.94,0.58,0.41,0.5,0.61,0.0,170,Welterweight
1084,1084,Christos Giagos,17-8-0,The Spartan,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",3.05,0.4,2.73,0.49,2.74,0.42,0.5,0.4,155,Lightweight
1085,1085,Joe Giannetti,6-1-0,,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 05, 1995",1.93,0.38,2.8,0.4,1.0,0.16,0.0,0.0,155,Lightweight
1086,1086,Nick Gibbons,2-1-0,,"5' 10""",155 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1087,1087,James Giboo,13-5-0,,"5' 11""",170 lbs.,--,Orthodox,"Jan 06, 1978",1.2,0.27,7.08,0.39,0.0,0.0,0.0,0.0,170,Welterweight
1088,1088,Lance Gibson,4-5-0,Fearless,"5' 9""",185 lbs.,--,Orthodox,"Nov 20, 1970",1.21,0.75,6.44,0.2,0.0,0.0,0.0,0.0,185,Middleweight
1089,1089,Lee Gibson,12-4-0,Lethal,"5' 7""",155 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1090,1090,Cody Gibson,15-7-0,The Renegade,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",2.47,0.31,2.54,0.63,1.85,0.38,0.58,0.4,135,Bantamweight
1091,1091,Chase Gibson,9-5-0,El Guero,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 07, 1990",3.13,0.54,6.4,0.52,0.0,0.0,0.0,0.0,155,Lightweight
1092,1092,Kenny Giddens,12-7-0,,"5' 11""",155 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1093,1093,Thomas Gifford,NC),The Young Lion,"6' 1""",155 lbs.,"75""",Orthodox,"Jul 26, 1992",3.97,0.37,6.45,0.37,0.5,0.33,0.33,0.0,155,Lightweight
1094,1094,Joseph Gigliotti,7-2-0,Capo,"5' 11""",185 lbs.,--,Orthodox,"Aug 13, 1993",1.04,0.39,2.92,0.45,1.56,1.0,0.5,0.8,185,Middleweight
1095,1095,Joey Gilbert,2-3-0,,"5' 11""",155 lbs.,--,Orthodox,"Jun 05, 1976",0.61,0.42,4.44,0.31,0.0,0.0,0.0,0.0,155,Lightweight
1096,1096,Trevin Giles,13-2-0,,"6' 0""",185 lbs.,"74""",Orthodox,"Aug 06, 1992",3.57,0.57,1.83,0.64,1.45,0.87,0.8,0.2,185,Middleweight
1097,1097,Kultar Gill,12-8-0,Black Mamba,"6' 0""",154 lbs.,--,Orthodox,"Mar 24, 1979",1.14,0.5,0.4,0.41,1.71,0.66,0.38,0.0,154,Lightweight
1098,1098,Jesse Gillespie,3-2-0,,--,185 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,Middleweight
1099,1099,Gregor Gillespie,13-1-0,The Gift,"5' 7""",155 lbs.,"71""",Orthodox,"Nov 13, 1986",3.58,0.49,2.14,0.6,7.02,0.47,0.0,0.9,155,Lightweight
1100,1100,Jason Gilliam,14-9-0,,"6' 0""",170 lbs.,--,Orthodox,--,0.79,0.33,3.14,0.42,0.0,0.0,0.0,0.0,170,Welterweight
1102,1102,Alex Gilpin,11-1-0,,"5' 7""",145 lbs.,--,Orthodox,"Mar 26, 1992",6.8,0.54,12.29,0.42,2.17,0.25,0.0,2.2,145,Featherweight
1103,1103,Bob Gilstrap,5-7-0,,"6' 3""",200 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,Lightheavyweight
1104,1104,Demetrius Gioulacos,0-1-0,,"5' 11""",185 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,Middleweight
1105,1105,Billy Giovanella,9-5-0,Wolverine,"5' 8""",125 lbs.,--,,"Aug 20, 1985",1.27,0.4,2.02,0.52,0.87,0.12,1.0,1.7,125,Flyweight
1107,1107,Israel Giron,19-5-0,El Rojo,"5' 8""",155 lbs.,--,,"Jan 16, 1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1108,1108,Brandon Girtz,14-7-0,Cold Roll,"5' 7""",155 lbs.,--,,"Mar 06, 1985",2.5,0.6,1.92,0.47,5.76,1.0,1.0,0.0,155,Lightweight
1109,1109,Jason Glaza,3-2-0,,"6' 0""",230 lbs.,--,,--,4.34,0.54,0.43,0.4,4.34,1.0,0.0,4.3,230,Heavyweight
1110,1110,Mike Glenn,5-6-0,,--,205 lbs.,--,,"Oct 09, 1977",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,Lightheavyweight
1111,1111,Rick Glenn,21-6-1,The Gladiator,"6' 0""",145 lbs.,"70""",Southpaw,"Apr 12, 1989",4.31,0.42,4.29,0.53,0.67,0.13,0.66,0.3,145,Featherweight
1112,1112,Mark Godbeer,13-4-0,The Hand Of,"6' 4""",240 lbs.,"77""",Orthodox,"Nov 22, 1983",3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0,240,Heavyweight
1113,1113,Clint Godfrey,13-3-0,,"5' 6""",135 lbs.,--,Southpaw,"Oct 21, 1982",0.57,0.31,0.96,0.65,0.85,0.25,0.5,0.0,135,Bantamweight
1114,1114,Jason Godsey,16-16-0,,"6' 2""",230 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,Heavyweight
1115,1115,Allan Goes,10-5-2,,"6' 0""",205 lbs.,--,Orthodox,"Apr 20, 1971",0.64,0.52,1.35,0.41,1.75,0.4,0.0,2.6,205,Lightheavyweight
1116,1116,Jonny Goh,3-4-0,,"5' 11""",155 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1117,1117,Hannah Goldy,5-1-0,24K,"5' 4""",125 lbs.,"61""",Orthodox,"May 18, 1992",6.53,0.46,3.9,0.55,0.0,0.0,0.66,0.0,125,Flyweight
1118,1118,Marcelo Golm,6-3-0,,"6' 3""",249 lbs.,"75""",Orthodox,"Sep 15, 1992",4.27,0.58,4.3,0.45,0.45,0.5,0.87,0.5,249,Heavyweight
1119,1119,Sergio Gomez,10-3-0,,"5' 6""",155 lbs.,--,Orthodox,"Apr 29, 1982",1.5,0.42,1.16,0.56,2.57,0.66,0.31,0.0,155,Lightweight
1120,1120,Frank Gomez,10-6-0,,"5' 10""",135 lbs.,"67""",Orthodox,"Mar 31, 1986",1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8,135,Bantamweight
1121,1121,Alan Gomez,2-0-0,,--,155 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1122,1122,David Gomez,1-2-0,,--,155 lbs.,--,,"Aug 08, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1123,1123,Ulysses Gomez,9-5-0,Useless,"5' 6""",125 lbs.,--,Orthodox,"May 25, 1983",2.72,0.25,3.57,0.68,0.0,0.0,0.0,0.0,125,Flyweight
1124,1124,Joey Gomez,6-2-0,KO King,"5' 10""",135 lbs.,"73""",Orthodox,"Jul 21, 1986",2.44,0.28,4.46,0.55,0.62,1.0,0.5,0.0,135,Bantamweight
1125,1125,Luis Gomez,4-1-0,Tiger Junior,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 28, 1995",1.57,0.33,4.03,0.55,4.48,0.5,0.33,0.0,145,Featherweight
1126,1126,Joey Gomez,7-1-0,,"5' 10""",155 lbs.,"71""",Orthodox,"Aug 29, 1989",3.73,0.49,3.33,0.5,2.0,0.28,0.0,0.0,155,Lightweight
1127,1127,Edson Gomez,6-2-0,,"5' 8""",170 lbs.,"69""",Switch,"Feb 23, 1991",2.66,0.32,8.78,0.45,0.0,0.0,0.0,0.0,170,Welterweight
1128,1128,Silvana Gomez Juarez,6-2-0,La Malvada,"5' 3""",125 lbs.,--,Orthodox,"Jun 12, 1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,Flyweight
1129,1129,Takanori Gomi,NC),The Fireball Kid,"5' 7""",155 lbs.,"70""",Southpaw,"Sep 22, 1978",3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8,155,Lightweight
1130,1130,Akihiro Gono,35-21-8,,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974",2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,170,Welterweight
1131,1131,Gabriel Gonzaga,17-11-0,Napao,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1,242,Heavyweight
1132,1132,Justin Gonzales,6-0-0,J-Train,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 28, 1991",6.67,0.8,0.87,0.43,14.0,0.73,1.0,0.0,145,Featherweight
1133,1133,Fernando Gonzalez,26-14-0,The Menifee Maniac,"5' 9""",170 lbs.,"68""",Southpaw,"Sep 15, 1983",4.47,0.47,4.03,0.65,0.86,0.33,0.43,1.4,170,Welterweight
1134,1134,Nick Gonzalez,NC),The Ghost,"5' 6""",155 lbs.,--,Orthodox,"Mar 03, 1981",0.59,0.2,2.35,0.33,0.0,0.0,0.5,0.0,155,Lightweight
1135,1135,Fabian Gonzalez,2-1-0,,"5' 10""",135 lbs.,--,,--,3.9,0.48,4.39,0.51,0.0,0.0,0.66,0.0,135,Bantamweight
1136,1136,Lewis Gonzalez,11-3-0,Lethal,"5' 10""",170 lbs.,--,Orthodox,"Sep 19, 1987",1.4,0.37,1.87,0.41,2.0,0.33,0.62,0.0,170,Welterweight
1137,1137,Jason Gonzalez,11-5-0,Nicoya,"6' 2""",155 lbs.,"74""",Southpaw,"Feb 28, 1990",3.06,0.39,3.13,0.58,0.0,0.0,0.3,1.0,155,Lightweight
1138,1138,Pearl Gonzalez,6-3-0,,"5' 4""",115 lbs.,--,Orthodox,"Aug 12, 1986",2.23,0.37,4.07,0.57,1.04,0.11,0.0,0.5,115,Strawweight
1139,1139,Jorge Gonzalez,16-4-0,Street,"6' 2""",205 lbs.,"76""",Orthodox,"Feb 29, 1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,Lightheavyweight
1140,1140,Mikey Gonzalez,7-2-0,Rolls,"5' 11""",155 lbs.,"74""",Orthodox,"Aug 13, 1985",0.91,0.16,14.55,0.11,0.0,0.0,0.0,0.0,155,Lightweight
1141,1141,Kier Gooch,2-7-0,,--,155 lbs.,--,,"Apr 21, 1986",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1142,1142,Lyman Good,NC),Cyborg,"6' 0""",170 lbs.,"74""",Orthodox,"May 26, 1985",5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0,170,Welterweight
1143,1143,Jared Gooden,17-5-0,NiteTrain,"6' 0""",170 lbs.,"77""",Orthodox,"Dec 05, 1993",6.67,0.47,11.2,0.49,1.0,1.0,1.0,0.0,170,Welterweight
1144,1144,Gary Goodridge,23-22-1,Big Daddy,"6' 3""",249 lbs.,--,Orthodox,"Jan 17, 1966",1.84,0.56,2.14,0.48,0.4,1.0,0.53,0.8,249,Heavyweight
1145,1145,Jordan Goodwin,0-0-0,,--,155 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1146,1146,Gerard Gordeau,2-2-0,,"6' 5""",216 lbs.,--,Orthodox,"Mar 30, 1959",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,Heavyweight
1147,1147,Eddie Gordon,8-4-0,Truck,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 22, 1983",2.03,0.32,2.57,0.6,1.93,0.83,0.63,0.0,185,Middleweight
1148,1148,Jared Gordon,16-4-0,Flash,"5' 9""",145 lbs.,"68""",Orthodox,"Sep 06, 1988",5.55,0.55,3.35,0.59,2.98,0.41,0.62,0.0,145,Featherweight
1149,1149,Tebaris Gordon,3-1-0,Boom,"6' 1""",265 lbs.,--,Orthodox,"Jul 19, 1988",3.53,0.16,49.41,0.22,0.0,0.0,0.0,0.0,265,Heavyweight
1150,1150,Malcolm Gordon,12-5-0,X,"5' 7""",125 lbs.,"71""",Switch,"May 19, 1990",0.55,0.13,3.87,0.54,0.0,0.0,0.0,0.0,125,Flyweight
1151,1151,Alex Gorgees,6-1-0,Hitman,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",0.67,0.32,2.27,0.38,0.0,0.0,0.54,0.0,155,Lightweight
1152,1152,Tim Gorman,9-4-0,The Psycho,"5' 5""",135 lbs.,--,Southpaw,"Apr 29, 1983",2.73,0.31,5.57,0.46,1.0,0.09,0.33,0.0,135,Bantamweight
1153,1153,Chase Gormley,NC),,"6' 3""",265 lbs.,--,Orthodox,--,3.6,0.42,6.03,0.44,3.12,0.42,0.0,1.0,265,Heavyweight
1154,1154,Jonathan Goulet,NC),The Road Warrior,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 13, 1979",1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6,170,Welterweight
1155,1155,Thibault Gouti,12-5-0,GT,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987",3.68,0.34,5.64,0.5,1.23,0.8,0.83,0.3,155,Lightweight
1156,1156,Wilson Gouveia,14-8-0,,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",3.02,0.39,4.06,0.56,0.9,0.66,0.57,2.2,185,Middleweight
1157,1157,Todd Gouwenberg,9-5-0,,"6' 1""",205 lbs.,--,Orthodox,"Sep 25, 1974",0.52,0.23,2.93,0.42,1.57,0.33,0.5,0.0,205,Lightheavyweight
1159,1159,Justin Governale,5-5-0,The Therapist,--,145 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,Featherweight
1160,1160,Damian Grabowski,20-5-0,The Polish Pitbull,"6' 1""",241 lbs.,"75""",Orthodox,"May 12, 1980",4.0,0.36,7.65,0.51,0.0,0.0,0.0,0.0,241,Heavyweight
1161,1161,Royce Gracie,15-2-3,,"6' 1""",175 lbs.,--,Southpaw,"Dec 12, 1966",0.88,0.41,1.13,0.37,0.0,0.0,0.66,0.8,175,Welterweight
1162,1162,Crosley Gracie,2-2-0,,"5' 9""",190 lbs.,--,Orthodox,"Jul 18, 1979",1.69,0.37,1.54,0.6,3.46,0.85,0.5,0.6,190,Lightheavyweight
1163,1163,Daniel Gracie,5-4-1,,"6' 2""",225 lbs.,--,Orthodox,--,1.9,0.38,1.33,0.59,0.36,1.0,0.8,2.1,225,Heavyweight
1164,1164,Ralph Gracie,6-1-0,,"5' 9""",183 lbs.,--,Orthodox,--,0.86,0.37,1.72,0.31,0.0,0.0,0.25,4.0,183,Middleweight
1165,1165,Renzo Gracie,NC),,"5' 10""",185 lbs.,--,Orthodox,"Mar 11, 1967",1.71,0.41,1.67,0.55,1.13,0.2,0.4,0.8,185,Middleweight
1166,1166,Rickson Gracie,11-0-0,,"5' 10""",185 lbs.,--,Switch,"Nov 20, 1958",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,Middleweight
1167,1167,Rodrigo Gracie,6-2-1,,"6' 0""",183 lbs.,--,Orthodox,"Apr 11, 1975",1.34,0.51,0.86,0.46,1.49,0.5,0.75,0.4,183,Middleweight
1168,1168,Royler Gracie,5-5-1,,"5' 8""",150 lbs.,--,Southpaw,"Dec 06, 1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,Lightweight
1169,1169,Ryan Gracie,5-2-0,,"5' 9""",200 lbs.,--,Orthodox,"Aug 14, 1974",0.82,0.61,0.5,0.4,2.83,0.75,0.25,0.9,200,Lightheavyweight
1170,1170,Ralek Gracie,3-1-0,,"6' 2""",210 lbs.,--,Orthodox,"Oct 04, 1985",1.61,0.46,1.05,0.55,2.5,0.75,0.0,1.7,210,Heavyweight
1171,1171,Rolles Gracie,8-4-0,,"6' 4""",242 lbs.,--,Orthodox,"Jul 14, 1978",2.3,0.32,3.38,0.55,2.3,0.1,0.0,0.0,242,Heavyweight
1172,1172,Cesar Gracie,0-1-0,,"5' 10""",181 lbs.,--,Orthodox,--,0.0,0.0,17.14,0.5,0.0,0.0,0.0,0.0,181,Middleweight
1173,1173,Roger Gracie,8-2-0,,"6' 4""",185 lbs.,"79""",Orthodox,"Sep 26, 1981",1.78,0.35,1.79,0.61,1.87,0.53,0.6,1.9,185,Middleweight
1174,1174,Igor Gracie,5-4-0,,"5' 11""",170 lbs.,--,,"Feb 04, 1980",1.86,0.6,0.99,0.5,3.72,0.5,0.0,3.7,170,Welterweight
1175,1175,Neiman Gracie,6-0-0,,"6' 0""",170 lbs.,--,,--,0.77,1.0,0.38,0.75,5.77,1.0,0.0,5.8,170,Welterweight
1176,1176,Kron Gracie,5-1-0,,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",5.15,0.41,8.13,0.53,0.88,0.25,0.0,0.9,145,Featherweight
1177,1177,Steven Graham,2-1-0,,"6' 1""",290 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290,Heavyweight
1178,1178,Scott Graham,3-1-0,,"6' 4""",185 lbs.,--,Orthodox,--,0.91,0.42,2.27,0.28,0.0,0.0,0.0,0.0,185,Middleweight
1179,1179,Miranda Granger,7-2-0,Danger,"5' 7""",125 lbs.,"68""",Orthodox,"Apr 13, 1992",2.91,0.48,2.64,0.59,0.0,0.0,0.4,0.0,125,Flyweight
1180,1180,TJ Grant,21-5-0,,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6,155,Lightweight
1181,1181,Davey Grant,12-4-0,Dangerous,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",3.67,0.48,2.32,0.63,2.59,0.47,0.66,0.2,135,Bantamweight
1182,1182,Dwight Grant,10-3-0,The Body Snatcher,"6' 1""",170 lbs.,"76""",Switch,"Sep 14, 1984",3.39,0.37,2.16,0.69,0.34,1.0,0.78,0.0,170,Welterweight
1183,1183,Alexa Grasso,12-3-0,,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993",5.35,0.42,3.76,0.63,0.32,0.4,0.63,0.5,115,Strawweight
1184,1184,Tony Gravely,20-6-0,,"5' 5""",135 lbs.,"69""",Orthodox,"Sep 28, 1991",3.69,0.55,3.16,0.42,5.6,0.51,0.5,0.8,135,Bantamweight
1185,1185,Michael Graves,6-0-1,,"5' 10""",170 lbs.,"71""",Orthodox,"Jan 08, 1991",1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4,170,Welterweight
1186,1186,Shelton Graves,7-3-0,The Gravedigger,"6' 2""",255 lbs.,"76""",Southpaw,"Oct 23, 1985",2.19,0.69,0.81,0.33,4.86,0.57,0.0,0.0,255,Heavyweight
1187,1187,James Gray,4-1-0,The Phenom,"5' 9""",135 lbs.,--,Orthodox,"Oct 25, 1987",2.61,0.5,18.26,0.44,0.0,0.0,0.0,0.0,135,Bantamweight
1188,1188,Kevin Gray,9-4-0,Pocket Herc,"5' 4""",125 lbs.,"67""",Orthodox,"May 03, 1985",3.45,0.62,4.48,0.66,0.0,0.0,0.0,0.0,125,Flyweight
1189,1189,Sam Greco,3-1-1,,"6' 2""",205 lbs.,--,Orthodox,"May 03, 1967",2.4,0.75,1.33,0.53,0.0,0.0,0.25,1.0,205,Lightheavyweight
1190,1190,Bobby Green,27-11-1,King,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",5.17,0.51,3.32,0.63,1.56,0.41,0.72,0.3,155,Lightweight
1191,1191,Desmond Green,23-8-0,The Predator,"5' 10""",155 lbs.,"73""",Southpaw,"Oct 11, 1989",3.7,0.46,2.51,0.69,1.62,0.5,0.75,0.0,155,Lightweight
1192,1192,Gabe Green,9-3-0,Gifted,"5' 10""",170 lbs.,"73""",Switch,"May 02, 1993",8.47,0.46,11.67,0.49,0.0,0.0,0.0,0.0,170,Welterweight
1193,1193,Maurice Greene,9-6-0,The Crochet Boss,"6' 7""",258 lbs.,"80""",Orthodox,"Jul 05, 1986",4.12,0.44,4.37,0.45,0.0,0.0,0.28,0.6,258,Heavyweight
1194,1194,Matt Grice,15-5-0,The Real One,"5' 8""",145 lbs.,"70""",Orthodox,"Jul 29, 1981",4.09,0.53,2.69,0.56,2.19,0.37,0.82,0.5,145,Featherweight
1195,1195,Forrest Griffin,19-7-0,,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979",4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7,205,Lightheavyweight
1196,1196,Tyson Griffin,16-8-0,,"5' 6""",145 lbs.,"68""",Orthodox,"Apr 20, 1984",3.71,0.41,2.3,0.65,1.87,0.46,0.59,0.9,145,Featherweight
1197,1197,Max Griffin,16-8-0,Pain,"5' 11""",170 lbs.,"76""",Orthodox,"Nov 29, 1985",4.08,0.48,3.91,0.56,1.73,0.53,0.66,0.5,170,Welterweight
1198,1198,Jordan Griffin,18-8-0,Native Psycho,"5' 10""",145 lbs.,"73""",Southpaw,"Feb 28, 1990",2.6,0.46,3.18,0.48,0.78,0.23,0.42,1.8,145,Featherweight
1199,1199,Chad Griggs,11-3-0,The Grave Digger,"6' 1""",205 lbs.,"73""",Orthodox,"May 15, 1978",2.67,0.5,2.22,0.46,1.51,0.66,0.41,0.0,205,Lightheavyweight
1200,1200,Chuck Grigsby,23-10-0,The Reverend,"6' 6""",205 lbs.,--,Orthodox,--,0.71,0.16,3.29,0.46,0.0,0.0,0.66,0.0,205,Lightheavyweight
1201,1201,Rodrigo Gripp de Sousa,7-9-0,Riscado,"5' 11""",205 lbs.,--,Orthodox,--,0.48,0.23,4.81,0.52,0.0,0.0,0.0,9.6,205,Lightheavyweight
1202,1202,Maxim Grishin,31-8-2,Maximus,"6' 3""",220 lbs.,"78""",Orthodox,"May 02, 1984",2.08,0.48,1.44,0.52,0.6,1.0,0.66,0.0,220,Heavyweight
1203,1203,Josh Grispi,14-5-0,The Fluke,"5' 11""",145 lbs.,"74""",Orthodox,"Oct 14, 1988",1.44,0.41,3.71,0.5,1.97,0.36,0.16,2.2,145,Featherweight
1204,1204,Garrett Gross,11-7-0,,"5' 9""",155 lbs.,--,Orthodox,"Aug 08, 1988",2.39,0.45,1.67,0.46,0.0,0.0,0.52,0.0,155,Lightweight
1205,1205,Kendall Grove,NC),Da Spyder,"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982",2.31,0.41,2.4,0.54,0.49,0.45,0.56,1.7,185,Middleweight
1206,1206,Neil Grove,12-8-1,Goliath,"6' 6""",265 lbs.,--,Orthodox,"Jan 18, 1971",0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,265,Heavyweight
1207,1207,Chris Gruetzemacher,14-4-0,Gritz,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",7.02,0.57,5.54,0.55,0.0,0.0,0.62,0.0,155,Lightweight
1208,1208,Vik Grujic,6-6-0,The Spartan,"5' 11""",170 lbs.,"73""",Orthodox,"Feb 06, 1977",2.24,0.48,3.39,0.41,1.18,0.33,0.26,0.4,170,Welterweight
1209,1209,Mike Grundy,12-2-0,,"5' 7""",145 lbs.,"72""",Orthodox,"Jan 03, 1987",2.15,0.43,4.09,0.58,4.25,0.38,1.0,0.6,145,Featherweight
1210,1210,Wang Guan,20-1-1,The Dongbei Tiger,"5' 9""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",4.73,0.43,3.27,0.6,0.0,0.0,0.0,0.0,145,Featherweight
1211,1211,Nandor Guelmino,11-5-1,The Hun,"6' 3""",230 lbs.,--,,"Dec 20, 1975",3.62,0.56,3.16,0.33,0.0,0.0,0.42,0.0,230,Heavyweight
1212,1212,Fabricio Guerreiro,NC),,"5' 10""",145 lbs.,--,,"Jul 24, 1990",1.87,0.31,2.2,0.67,2.0,0.5,0.0,0.0,145,Featherweight
1213,1213,Shannon Gugerty,15-7-0,,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 30, 1981",1.25,0.39,1.88,0.58,2.13,0.27,0.5,3.4,155,Lightweight
1214,1214,Clay Guida,35-17-0,The Carpenter,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.41,0.33,2.52,0.64,3.37,0.38,0.68,0.7,155,Lightweight
1215,1215,Jason Guida,NC),,"5' 10""",214 lbs.,--,,"Aug 04, 1977",1.87,0.4,3.33,0.52,1.0,0.14,0.5,1.0,214,Heavyweight
1216,1216,Melvin Guillard,NC),The Young Assassin,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 30, 1983",2.96,0.4,1.85,0.66,1.3,0.63,0.61,0.2,155,Lightweight
1217,1217,Chris Guillen,13-16-0,,"6' 0""",240 lbs.,--,Orthodox,"Dec 09, 1972",0.82,0.27,1.91,0.36,0.0,0.0,0.0,0.0,240,Heavyweight
1218,1218,Marcelo Guimaraes,9-2-1,Magrao,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 25, 1983",4.67,0.51,4.41,0.62,1.99,0.13,0.0,0.0,185,Middleweight
1219,1219,Leonardo Guimaraes,NC),Leleco,"6' 0""",185 lbs.,--,Orthodox,"Apr 15, 1982",2.35,0.56,2.99,0.44,0.0,0.0,0.52,1.0,185,Middleweight
1220,1220,Brad Gumm,NC),,"5' 11""",170 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,Welterweight
1221,1221,John Gunderson,35-16-2,Quick Guns,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979",1.04,0.27,1.71,0.58,1.67,0.33,0.11,2.0,155,Lightweight
1222,1222,John Gunther,5-1-0,The Machine,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 24, 1985",1.65,0.37,3.72,0.46,7.08,0.42,0.0,0.0,155,Lightweight
