,Name,Record,Nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
856,Te Edwards,6-3-0,,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 11, 1990",1.5,41%,4.15,44%,0.72,100%,44%,0.0
857,Adli Edwards,4-1-0,,--,145 lbs.,--,,"Aug 28, 1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0
858,Tom Egan,7-5-0,,"5' 11""",170 lbs.,--,Orthodox,--,0.0,0%,3.91,50%,0.0,0%,28%,0.0
859,Stephanie Egger,5-2-0,,"5' 6""",135 lbs.,"68""",Orthodox,"Aug 12, 1988",0.67,31%,1.33,52%,1.0,16%,40%,0.0
860,Justin Eilers,19-7-1,The Hammer,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978",2.86,43%,5.66,49%,0.82,25%,50%,0.0
861,Jon Olav Einemo,6-3-0,The Viking,"6' 6""",253 lbs.,--,Orthodox,"Dec 10, 1975",2.15,52%,3.05,52%,1.73,55%,43%,0.0
862,Per Eklund,14-5-1,,"5' 10""",155 lbs.,"72""",Orthodox,--,2.07,61%,2.38,67%,2.07,11%,50%,3.6
863,John Elam,2-0-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
864,John Paul Elias,3-1-0,,"6' 4""",205 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
865,Saul Elizondo,6-8-0,,"5' 7""",135 lbs.,--,,"Jul 17, 1985",2.07,30%,4.93,48%,2.0,100%,66%,1.0
866,Darren Elkins,26-9-0,The Damage,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.5,38%,3.08,52%,2.7,33%,58%,1.2
867,Jake Ellenberger,31-15-0,The Juggernaut,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.47,39%,2.83,60%,2.04,47%,86%,0.4
868,Joe Ellenberger,15-2-0,Excalibur,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985",1.62,47%,3.45,48%,3.17,40%,0%,1.1
869,Tim Elliott,17-11-1,,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.5,45%,2.64,59%,4.02,48%,58%,1.2
870,Eddy Ellis,NC),Fast,"5' 9""",170 lbs.,--,Orthodox,--,3.4,69%,1.53,68%,4.0,66%,50%,2.0
871,Lisa Ellis,15-11-0,,"5' 4""",115 lbs.,--,,"Nov 15, 1982",1.68,48%,2.32,57%,4.19,63%,50%,0.6
872,Anna Elmose,3-2-0,Panda,"5' 3""",115 lbs.,--,Orthodox,"Oct 06, 1984",3.68,49%,4.64,56%,0.0,0%,33%,0.0
873,Cameron Else,10-5-0,Camchida,"5' 9""",135 lbs.,"71""",Switch,"Apr 27, 1987",1.92,36%,5.58,58%,0.0,0%,0%,0.0
874,Aaron Ely,5-2-0,The Cyborg,"5' 8""",135 lbs.,--,,"Mar 18, 1989",0.82,15%,0.66,69%,2.47,100%,50%,4.9
875,Sovannahry Em,3-1-0,The Sweet Savage,"5' 4""",135 lbs.,--,,"Jun 26, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0
876,Ramazan Emeev,19-4-0,Gorets,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.29,43%,1.79,68%,2.0,25%,72%,0.6
877,Aleksander Emelianenko,23-7-0,,"6' 6""",255 lbs.,--,Orthodox,"Aug 02, 1981",2.75,41%,1.7,65%,2.32,72%,66%,0.9
878,Fedor Emelianenko,NC),The Last Emperor,"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976",3.18,51%,1.0,63%,2.0,63%,82%,1.9
879,Rob Emerson,NC),The Saint,"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.5,30%,2.83,64%,2.02,52%,65%,0.4
880,Jamall Emmers,18-5-0,Pretty Boy,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",5.75,52%,4.65,54%,2.9,53%,100%,0.0
881,Josh Emmett,16-2-0,,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",4.32,39%,4.02,63%,1.43,47%,50%,0.1
882,Marius Enache,3-3-0,,"5' 11""",155 lbs.,--,,"Oct 16, 1975",1.71,34%,0.66,84%,3.94,100%,0%,3.9
883,Kevin Engel,5-1-0,The Hitman,"6' 2""",170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
884,Oliver Enkamp,7-2-0,,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991",2.38,36%,3.55,37%,0.87,16%,0%,0.0
885,Alex Enlund,NC),,"5' 10""",145 lbs.,--,Orthodox,"May 27, 1987",0.0,0%,0.0,0%,0.0,0%,0%,0.0
886,Kenny Ento,14-15-0,Tha' Dragon,"6' 2""",192 lbs.,--,,--,8.41,79%,0.0,100%,5.49,100%,0%,11.0
887,Ian Entwistle,9-3-0,Enty,"5' 5""",135 lbs.,--,Orthodox,"Nov 19, 1986",0.11,7%,7.36,31%,0.0,0%,0%,12.1
888,Andy Enz,10-4-0,Tank Mode,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",3.51,23%,5.32,57%,0.0,0%,58%,0.0
889,Won Jin Eoh,5-5-1,,"5' 7""",160 lbs.,--,Orthodox,--,3.74,44%,3.58,46%,0.0,0%,50%,0.0
890,Josh Epps,6-7-0,,--,130 lbs.,--,,"Aug 23, 1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0
891,Tom Erikson,9-4-1,The Big Cat,"6' 3""",280 lbs.,--,Orthodox,--,0.94,47%,1.87,25%,4.68,60%,100%,6.2
892,Konstantin Erokhin,9-3-0,,"5' 11""",230 lbs.,--,Orthodox,"Jan 31, 1983",1.07,36%,1.83,47%,0.0,0%,70%,0.0
893,Julian Erosa,24-9-0,Juicy J,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",4.92,46%,5.67,50%,1.34,54%,58%,0.9
894,Nick Ertl,8-6-0,,"5' 9""",155 lbs.,--,,--,1.34,69%,1.59,41%,1.88,50%,0%,0.0
895,Chel Erwin-Davis,5-1-0,The First Sun,"6' 0""",170 lbs.,--,,--,4.06,54%,1.13,61%,4.25,100%,50%,1.4
896,Bobby Escalante,5-6-0,,--,130 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
897,Eric Esch,15-10-1,Butterbean,"5' 11""",350 lbs.,--,Orthodox,"Aug 03, 1968",3.07,71%,1.74,43%,0.0,0%,0%,2.0
898,Pro Escobedo,1-0-0,,--,205 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
899,Cole Escovedo,17-9-0,Apache Kid,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",1.77,43%,4.32,49%,0.43,33%,13%,0.0
900,Efrain Escudero,28-12-0,Hecho En Mexico,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,44%,2.3,63%,1.31,40%,66%,0.8
901,Evan Esguerra,NC),,--,145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
902,Carla Esparza,18-6-0,Cookie Monster,"5' 1""",115 lbs.,"63""",Orthodox,"Oct 10, 1987",2.29,42%,2.85,53%,3.44,35%,48%,0.3
903,Juan Espino,11-1-0,El Guapo,"6' 3""",250 lbs.,"80""",,"Oct 09, 1980",4.32,80%,0.54,42%,14.19,77%,0%,6.1
904,Jordan Espinosa,NC),The Gamer,"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",4.99,53%,3.23,58%,0.92,28%,90%,0.2
905,Jodie Esquibel,6-6-0,,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986",4.1,31%,7.37,52%,0.75,21%,83%,0.0
906,Terry Etim,16-5-0,,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986",2.16,35%,2.53,67%,0.43,30%,39%,1.4
907,Fred Ettish,1-1-0,,"6' 0""",180 lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
908,Scott Ettling,4-2-0,,--,135 lbs.,--,,--,0.0,0%,0.54,83%,8.04,100%,0%,0.0
909,Sijara Eubanks,7-5-0,Sarj,"5' 4""",135 lbs.,"67""",Orthodox,"Apr 27, 1985",4.7,42%,3.34,60%,1.86,46%,61%,0.4
910,Billy Evangelista,NC),,"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980",4.51,40%,3.96,61%,1.6,19%,61%,0.2
911,Rashad Evans,19-8-1,Suga,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2.14,37%,2.42,63%,2.98,44%,73%,0.0
912,Doug Evans,13-10-0,,"5' 9""",155 lbs.,--,Orthodox,"Oct 10, 1980",1.79,35%,2.55,55%,3.19,83%,69%,0.6
913,Ashlee Evans-Smith,6-5-0,Rebel Girl,"5' 8""",135 lbs.,"67""",Orthodox,"Jul 09, 1987",4.54,34%,4.69,55%,1.1,23%,66%,0.0
914,Dan Evensen,11-4-0,The Viking,"6' 3""",250 lbs.,--,Orthodox,"Jun 01, 1974",0.27,10%,3.86,38%,0.0,0%,0%,4.0
915,Tonya Evinger,NC),Triple Threat,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 04, 1981",1.16,42%,4.02,38%,0.93,30%,33%,0.9
916,Movsar Evloev,13-0-0,,"5' 7""",145 lbs.,"72""",Orthodox,"Feb 11, 1994",4.44,43%,2.76,65%,3.0,33%,68%,0.0
917,Andre Ewell,17-6-0,Mr. Highlight,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988",4.5,41%,4.2,54%,0.17,50%,73%,0.0
918,Neal Ewing,6-0-0,,--,185 lbs.,--,,"Sep 30, 1985",2.27,60%,1.93,48%,5.0,62%,0%,0.0
919,Jessica Eye,NC),Evil,"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.65,36%,3.54,58%,0.4,45%,56%,0.6
920,Edward Faaloloto,2-5-0,,--,155 lbs.,"70""",,"Jul 15, 1984",2.28,32%,6.25,44%,1.01,25%,33%,0.0
921,Urijah Faber,35-11-0,The California Kid,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",2.65,40%,2.59,64%,1.54,30%,58%,0.8
922,Melinda Fabian,4-4-2,,"5' 6""",125 lbs.,"66""",,"Jun 25, 1987",4.03,41%,4.0,62%,0.0,0%,100%,0.0
923,Wagnney Fabiano,16-4-0,The Silencer,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975",1.19,38%,0.66,70%,3.44,64%,100%,0.4
924,Bartosz Fabinski,15-4-0,The Butcher,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986",2.2,69%,1.35,53%,7.08,69%,80%,0.0
925,Ron Faircloth,NC),,"5' 9""",205 lbs.,--,Orthodox,"Aug 16, 1979",0.39,40%,8.9,42%,0.0,0%,0%,0.0
926,Jason Fairn,4-5-0,,"6' 1""",230 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
927,Zarah Fairn,6-4-0,Infinite,"5' 8""",145 lbs.,"72""",Orthodox,"Dec 12, 1986",1.98,45%,6.61,39%,0.0,0%,50%,0.0
928,Maiquel Falcao,NC),Big Rig,"5' 11""",185 lbs.,--,Orthodox,"Mar 08, 1981",1.67,55%,0.53,86%,1.0,100%,71%,3.0
929,Brodie Farber,16-7-0,,"6' 1""",170 lbs.,--,Orthodox,"Jul 05, 1980",1.69,45%,2.17,53%,0.9,50%,20%,0.9
930,Joao Paulo Faria,1-1-0,,"5' 9""",155 lbs.,--,,--,6.69,64%,2.09,85%,1.25,50%,0%,1.2
931,Kalindra Faria,18-8-1,,"5' 7""",125 lbs.,--,Switch,"Jul 23, 1986",2.23,56%,1.44,45%,1.31,66%,20%,0.7
932,Chance Farrar,NC),,"5' 9""",145 lbs.,--,Southpaw,"Sep 11, 1975",0.81,22%,2.21,67%,3.02,100%,0%,0.0
933,Rico Farrington,7-3-0,The Triggerman,"6' 4""",170 lbs.,"79""",Southpaw,"Jun 19, 1989",6.33,41%,7.2,51%,0.0,0%,20%,0.0
934,Kelly Faszholz,4-2-0,,"5' 8""",135 lbs.,--,Orthodox,"Apr 09, 1985",4.01,48%,3.61,52%,0.0,0%,44%,0.0
935,Rodney Faverus,NC),,"6' 0""",215 lbs.,--,Southpaw,--,2.3,53%,1.6,54%,4.5,100%,25%,0.0
936,Paul Felder,17-6-0,The Irish Dragon,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984",3.7,44%,3.44,48%,0.29,28%,64%,0.2
937,Carlos Felipe,9-1-0,Boi,"6' 0""",245 lbs.,"75""",Orthodox,"Jan 12, 1995",4.07,40%,4.03,51%,0.0,0%,62%,0.0
938,JP Felty,4-5-0,,--,170 lbs.,--,,"Apr 28, 1979",0.0,0%,0.0,0%,0.0,0%,0%,0.0
939,Kevin Ferguson,NC),Kimbo Slice,"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974",2.3,50%,3.41,38%,3.1,72%,36%,1.2
940,Rhadi Ferguson,3-0-0,,"5' 7""",205 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
941,Tony Ferguson,26-5-0,El Cucuy,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984",5.46,45%,3.94,59%,0.45,42%,70%,1.1
942,Josh Ferguson,10-5-0,Taz,"5' 5""",125 lbs.,--,Orthodox,"May 13, 1988",2.13,43%,4.18,32%,0.59,11%,54%,0.0
943,CJ Fernandes,14-8-3,,"6' 2""",170 lbs.,--,,"Nov 13, 1977",0.0,0%,0.0,0%,0.0,0%,0%,0.0
944,Bibiano Fernandes,20-3-0,,"5' 7""",139 lbs.,--,Orthodox,"Mar 30, 1980",2.91,40%,2.02,72%,3.97,53%,77%,0.6
945,Alexandre Ferreira,18-6-0,Cacareco,"5' 7""",205 lbs.,--,Orthodox,"Apr 25, 1979",2.57,60%,8.14,42%,0.0,0%,0%,0.0
946,Cezar Ferreira,13-8-0,Mutante,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.9,42%,2.44,53%,2.69,53%,84%,0.5
947,Diego Ferreira,17-2-0,,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",5.07,36%,3.11,61%,1.04,27%,70%,1.0
948,Scott Ferrozzo,4-2-0,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,"Apr 26, 1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0
949,Timo Feucht,8-1-0,,"6' 3""",205 lbs.,"79""",Orthodox,"Jan 18, 1996",0.0,0%,0.0,0%,0.0,0%,0%,0.0
950,Drew Fickett,42-21-0,The Master,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979",2.33,41%,2.29,57%,1.3,35%,30%,2.2
951,Scott Fiedler,0-1-0,,"6' 4""",235 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
952,Ron Fields,28-32-1,Killing,"6' 2""",200 lbs.,--,Orthodox,"Nov 18, 1974",0.33,33%,2.64,11%,0.0,0%,0%,0.0
953,Deiveson Figueiredo,20-1-1,Deus da Guerra,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987",3.38,56%,3.35,50%,1.57,50%,61%,2.4
954,Anthony Figueroa,11-8-1,,"5' 4""",135 lbs.,--,Orthodox,--,2.37,48%,3.77,49%,0.0,0%,58%,0.0
955,Edwin Figueroa,9-5-0,El Feroz,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984",2.57,39%,3.06,51%,0.2,100%,37%,0.6
956,Paulo Filho,23-6-3,,"5' 8""",185 lbs.,--,Southpaw,"May 24, 1978",1.86,48%,1.67,66%,2.4,32%,42%,1.6
957,Andre Fili,21-8-0,Touchy,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.73,36%,3.9,52%,2.5,49%,64%,0.2
958,Mirko Filipovic,NC),Cro Cop,"6' 2""",230 lbs.,"73""",Southpaw,"Sep 10, 1974",2.11,50%,1.89,63%,0.19,40%,78%,0.3
959,Brady Fink,2-3-0,,"6' 0""",183 lbs.,--,Orthodox,--,1.69,41%,1.69,61%,3.63,25%,0%,3.6
960,Jesse Finney,5-1-0,,"6' 0""",170 lbs.,--,,"Jul 11, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0
961,Jan Finney,11-12-0,Cuddles,"5' 8""",135 lbs.,--,Orthodox,--,2.16,28%,8.75,42%,0.77,11%,25%,0.0
962,Luigi Fioravanti,26-15-0,,"5' 8""",170 lbs.,"70""",Orthodox,"Jan 22, 1981",2.23,42%,2.21,69%,3.76,63%,67%,0.9
963,Luiz Firmino,19-8-0,Buscape,"5' 6""",154 lbs.,--,Orthodox,"Mar 18, 1982",1.23,50%,1.22,51%,3.86,45%,20%,0.9
964,Spencer Fisher,24-9-0,The King,"5' 7""",155 lbs.,"68""",Southpaw,"May 09, 1976",3.17,43%,3.03,64%,0.67,30%,60%,0.8
965,Chris Fishgold,18-4-1,,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",2.01,32%,2.7,46%,2.59,46%,44%,1.3
966,Bryanna Fissori,2-4-0,,"5' 4""",145 lbs.,--,,--,1.4,46%,1.2,57%,2.0,25%,50%,0.0
967,Jon Fitch,NC),,"6' 0""",170 lbs.,"74""",Orthodox,"Feb 24, 1978",2.61,50%,1.65,54%,3.6,51%,56%,0.8
968,Rafael Fiziev,9-1-0,Ataman,"5' 8""",155 lbs.,"71""",Switch,"Mar 05, 1993",4.67,57%,4.17,55%,0.84,50%,100%,0.0
969,Colin Fletcher,14-8-0,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,"Jan 08, 1983",3.1,34%,2.97,62%,0.0,0%,27%,0.0
970,Jimmy Flick,15-5-0,The Brick,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",2.04,64%,1.28,61%,2.26,66%,0%,7.9
971,Luke Flores,9-2-0,,"6' 0""",155 lbs.,"73""",Southpaw,"Mar 17, 1988",1.56,44%,1.88,60%,0.0,0%,40%,1.2
972,Ty Flores,7-3-0,Big Medicine,"6' 3""",205 lbs.,"73""",Switch,"Dec 22, 1993",2.0,37%,7.8,25%,1.0,9%,0%,0.0
973,Alejandro Flores,17-3-0,El Gallito,"5' 10""",145 lbs.,"73""",Orthodox,"Aug 06, 1991",3.66,40%,2.02,54%,0.0,0%,0%,0.0
974,Kenny Florian,14-6-0,KenFlo,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3
975,Cody Floyd,2-0-0,,--,--,--,,"Jul 18, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0
976,Bobby Flynn,6-4-0,,--,170 lbs.,--,,--,0.38,25%,0.77,0%,0.0,0%,0%,0.0
977,Caros Fodor,11-6-0,The Future,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 07, 1984",2.76,54%,2.83,54%,2.1,25%,50%,0.0
978,Mal Foki,5-5-0,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,--,2.86,14%,14.29,54%,0.0,0%,0%,0.0
979,Matt Foki,NC),Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,--,0.0,0%,3.37,56%,0.0,0%,0%,0.0
980,AJ Fonseca,5-4-0,,"5' 4""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
981,Rob Font,17-4-0,,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.11,41%,3.89,63%,1.25,36%,50%,0.8
982,Claudionor Fontinelle,10-15-1,,"5' 5""",185 lbs.,--,Orthodox,--,2.62,42%,10.25,28%,0.0,0%,0%,0.0
983,Jesse Forbes,15-5-0,Kid Hercules,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984",2.11,24%,4.06,53%,1.79,75%,66%,1.2
984,Sterling Ford,15-7-0,,"5' 10""",155 lbs.,--,,"Mar 12, 1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0
985,Codale Ford,11-9-0,Crunch Time,"5' 9""",170 lbs.,--,,"May 13, 1979",0.0,0%,0.0,0%,0.0,0%,0%,0.0
986,Jussier Formiga,23-8-0,,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.42,39%,2.34,64%,1.82,35%,87%,0.6
987,Renee Forte,8-4-0,,"5' 7""",155 lbs.,"71""",Orthodox,"Mar 27, 1987",2.08,32%,2.12,63%,2.32,58%,66%,0.0
988,Marcel Fortuna,9-3-0,,"6' 1""",205 lbs.,"74""",Orthodox,"Oct 22, 1985",3.83,46%,4.52,64%,0.45,8%,75%,0.5
989,Brian Foster,27-10-0,The Foster Boy,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",3.3,39%,1.63,65%,3.67,60%,37%,1.8
990,Xavier Foupa-Pokam,32-22-0,Professor X,"6' 1""",185 lbs.,--,Open Stance,"Jul 03, 1982",1.47,43%,2.5,49%,0.0,0%,16%,0.0
991,Mason Fowler,2-0-0,,"5' 11""",170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
992,Brandon Foxworth,18-4-0,,"5' 11""",145 lbs.,--,Orthodox,"Apr 28, 1979",1.33,32%,4.59,50%,0.0,0%,0%,0.0
993,Hermes Franca,NC),,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4
994,Glaico Franca Moreira,15-5-0,Nego,"6' 0""",155 lbs.,"77""",Orthodox,"Feb 28, 1991",2.35,42%,3.46,47%,2.68,42%,76%,0.3
995,Francisco France,13-5-1,Kiko,"6' 0""",205 lbs.,--,,"Jan 21, 1983",0.54,33%,3.51,27%,0.0,0%,0%,6.1
996,John Franchi,6-2-0,,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 16, 1982",1.83,48%,2.59,48%,2.68,80%,40%,0.3
997,Rich Franklin,NC),Ace,"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",4.1,44%,2.07,62%,1.31,66%,63%,0.7
998,Zoila Frausto,13-5-0,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,--,0.77,31%,1.64,53%,0.0,0%,57%,0.0
999,Stephanie Frausto,8-7-0,Lil Bovy,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 20, 1990",1.43,21%,3.57,60%,0.0,0%,0%,0.0
1000,Zane Frazier,4-11-0,Nasty,"6' 5""",250 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
1001,Gary Frazier,3-3-0,,"6' 0""",245 lbs.,--,Orthodox,--,1.5,39%,2.77,46%,0.0,0%,100%,0.0
1002,Justin Frazier,10-3-0,The Grizzly Bear,"6' 0""",265 lbs.,"75""",Southpaw,"Jun 15, 1989",1.11,66%,6.11,4%,0.0,0%,0%,0.0
1003,Ian Freeman,20-7-1,The Machine,"5' 11""",225 lbs.,--,Orthodox,"Nov 10, 1966",2.54,48%,3.11,44%,1.44,40%,80%,0.7
1004,Jason Freeman,NC),,"6' 2""",225 lbs.,--,,"Sep 02, 1976",0.0,0%,0.0,0%,0.0,0%,0%,0.0
1005,Willamy Freire,26-6-0,Chiquerim,"5' 8""",155 lbs.,--,,"Jul 28, 1987",1.53,37%,0.93,62%,0.5,100%,73%,0.0
1006,Patricio Freire,26-4-0,Pitbull,"5' 5""",145 lbs.,"65""",,"Jul 07, 1987",2.84,41%,4.43,60%,0.6,18%,94%,0.6
1007,Patricky Freire,17-8-0,Pitbull,"5' 7""",155 lbs.,"71""",,"Jun 01, 1986",3.06,44%,3.34,69%,1.26,33%,100%,0.0
1008,Jeremy  Freitag,6-10-0,,"6' 1""",205 lbs.,--,,--,0.0,0%,8.37,19%,0.0,0%,33%,1.9
1009,Rafael Freitas,NC),Capoeira,--,205 lbs.,--,Orthodox,--,2.0,29%,8.0,51%,11.25,50%,0%,0.0
1010,Donavon Frelow,6-3-0,,"5' 7""",135 lbs.,--,Orthodox,"Jan 20, 1985",2.4,27%,3.2,52%,1.0,100%,26%,0.0
1011,Clay French,19-7-0,,"5' 7""",161 lbs.,--,Southpaw,"Oct 07, 1980",1.52,50%,1.27,16%,0.0,0%,100%,0.0
1012,Mike French,9-10-0,,"5' 10""",145 lbs.,--,,"May 29, 1975",0.23,23%,2.17,42%,0.0,0%,22%,1.0
1013,Matt Frevola,8-1-1,The SteamRolla,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",3.19,39%,3.47,60%,3.3,40%,75%,1.4
1014,Jinh Yu Frey,9-6-0,,"5' 3""",115 lbs.,"65""",Southpaw,"May 20, 1985",1.9,48%,4.05,42%,0.55,25%,83%,0.0
1015,Artem Frolov,11-0-0,,"5' 10""",185 lbs.,--,,"Sep 07, 1991",0.0,0%,0.0,0%,0.0,0%,0%,0.0
1016,Sarah Frota,9-2-0,A Treta,"5' 6""",125 lbs.,"69""",Southpaw,"Apr 14, 1987",4.52,52%,2.57,55%,0.0,0%,53%,0.0
1017,Don Frye,NC),The Predator,"6' 1""",219 lbs.,--,Orthodox,"Nov 23, 1965",2.87,64%,3.57,37%,0.91,57%,45%,0.7
1018,Tony Fryklund,14-9-1,The Freak,"6' 0""",185 lbs.,--,Orthodox,"Mar 26, 1971",3.49,39%,6.5,43%,0.0,0%,66%,0.5
1019,Jesse Fujarczyk,2-2-0,The Ronin,"6' 4""",225 lbs.,--,Southpaw,"Jan 28, 1983",1.03,33%,4.91,38%,0.0,0%,25%,0.0
1020,Katsuhisa Fujii,9-18-1,Shamoji,"6' 0""",205 lbs.,--,Orthodox,"Aug 15, 1972",4.0,50%,4.43,64%,2.14,25%,50%,2.1
1021,Megumi Fujii,26-3-0,Mega Megu,"5' 3""",113 lbs.,--,,"Apr 26, 1974",2.4,42%,0.0,100%,0.0,0%,0%,12.0
1022,Kazuyuki Fujita,15-12-0,Ironhead,"6' 0""",235 lbs.,--,Orthodox,"Oct 16, 1970",1.05,49%,1.99,52%,2.78,36%,85%,0.6
1023,Keisuke Fujiwara,17-12-5,,"5' 6""",139 lbs.,--,Switch,--,0.73,44%,1.2,47%,0.0,0%,23%,2.5
1024,Riki Fukuda,NC),,"6' 0""",185 lbs.,"73""",Southpaw,"Jan 06, 1981",4.24,43%,3.71,64%,2.17,43%,70%,0.0
1025,Masio Fullen,11-7-0,Lobo,"5' 10""",145 lbs.,"70""",Orthodox,"Oct 06, 1986",2.46,32%,3.5,54%,0.47,33%,69%,0.0
1026,Travis Fulton,NC),The Ironman,"6' 0""",240 lbs.,--,Orthodox,"May 29, 1977",0.0,0%,0.0,0%,0.0,0%,0%,0.0
1027,Sam Fulton,0-2-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
1028,Masakatsu Funaki,39-13-2,,"6' 0""",185 lbs.,--,Southpaw,"Mar 13, 1969",1.82,68%,2.92,35%,0.0,0%,0%,5.5
1029,Ricardo Funch,9-6-0,Golden Boy,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 14, 1980",2.61,65%,3.57,40%,1.24,18%,60%,0.0
1030,Katsuaki Furuki,1-1-0,,"6' 0""",168 lbs.,--,,"Nov 10, 1980",0.27,10%,2.67,39%,0.0,0%,0%,3.0
1031,James Gabert,6-4-0,,--,178 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
1032,Gustavo Gabriel,13-1-0,,"5' 6""",125 lbs.,--,Orthodox,"Apr 01, 1994",4.06,65%,4.26,46%,0.0,0%,50%,0.0
